run,returncode,sync_producer_time_ms,sync_end_to_end_time_ms,sync_attempted,sync_logged,sync_dropped,sync_dropped_denominator,sync_dropped_pct,sync_producer_lines_sec,sync_end_to_end_lines_sec,sync_checksum,async_producer_time_ms,async_end_to_end_time_ms,async_attempted,async_logged,async_dropped,async_dropped_denominator,async_dropped_pct,async_producer_lines_sec,async_end_to_end_lines_sec,async_checksum,sync_valid_sum,sync_valid_expected,async_valid_sum,async_valid_expected,spd_producer_time_ms,spd_end_to_end_time_ms,spd_attempted,spd_logged,spd_dropped,spd_dropped_denominator,spd_dropped_pct,spd_producer_lines_sec,spd_end_to_end_lines_sec,spd_checksum,spd_valid_sum,spd_valid_expected
30,0,952.13,952.13,400000,400000,0,400000,0.0,420111.0,420111.0,0x9c203f5b85d1ed12,78.74,78.97,400000,398364,1636,400000,0.4,5079930.0,5065072.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,266.55,267.45,400000,102827,297173,400000,74.3,1500673.0,1495630.0,0x9c203f5b85d1ed12,400000,400000
31,0,926.86,926.86,400000,400000,0,400000,0.0,431566.0,431566.0,0x9c203f5b85d1ed12,71.74,71.83,400000,400000,0,400000,0.0,5575863.0,5568380.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,277.22,277.68,400000,95787,304213,400000,76.1,1442920.0,1440522.0,0x9c203f5b85d1ed12,400000,400000
32,0,970.98,970.98,400000,400000,0,400000,0.0,411956.0,411956.0,0x9c203f5b85d1ed12,71.7,71.97,400000,400000,0,400000,0.0,5578428.0,5557908.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,259.47,259.84,400000,102438,297562,400000,74.4,1541624.0,1539384.0,0x9c203f5b85d1ed12,400000,400000
33,0,950.63,950.63,400000,400000,0,400000,0.0,420775.0,420775.0,0x9c203f5b85d1ed12,73.15,73.6,400000,395275,4725,400000,1.2,5468155.0,5434981.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,252.32,252.73,400000,98058,301942,400000,75.5,1585309.0,1582737.0,0x9c203f5b85d1ed12,400000,400000
34,0,958.96,958.96,400000,400000,0,400000,0.0,417120.0,417120.0,0x9c203f5b85d1ed12,75.64,75.84,400000,388058,11942,400000,3.0,5288386.0,5274245.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,254.02,254.39,400000,95465,304535,400000,76.1,1574669.0,1572382.0,0x9c203f5b85d1ed12,400000,400000
35,0,935.69,935.69,400000,400000,0,400000,0.0,427491.0,427491.0,0x9c203f5b85d1ed12,75.78,76.04,400000,362236,37764,400000,9.4,5278437.0,5260284.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,282.32,282.7,400000,93271,306729,400000,76.7,1416851.0,1414951.0,0x9c203f5b85d1ed12,400000,400000
36,0,950.64,950.64,400000,400000,0,400000,0.0,420768.0,420768.0,0x9c203f5b85d1ed12,72.19,72.38,400000,400000,0,400000,0.0,5541282.0,5526428.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,259.56,260.64,400000,101737,298263,400000,74.6,1541070.0,1534679.0,0x9c203f5b85d1ed12,400000,400000
37,0,949.09,949.09,400000,400000,0,400000,0.0,421455.0,421455.0,0x9c203f5b85d1ed12,71.41,71.63,400000,369746,30254,400000,7.6,5601785.0,5583965.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,248.89,249.29,400000,91894,308106,400000,77.0,1607131.0,1604563.0,0x9c203f5b85d1ed12,400000,400000
38,0,987.05,987.05,400000,400000,0,400000,0.0,405248.0,405248.0,0x9c203f5b85d1ed12,72.34,72.52,400000,368562,31438,400000,7.9,5529690.0,5515740.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,265.89,266.27,400000,96204,303796,400000,75.9,1504376.0,1502225.0,0x9c203f5b85d1ed12,400000,400000
39,0,960.48,960.48,400000,400000,0,400000,0.0,416460.0,416460.0,0x9c203f5b85d1ed12,74.08,74.24,400000,398133,1867,400000,0.5,5399749.0,5388120.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,254.36,254.77,400000,106665,293335,400000,73.3,1572545.0,1570015.0,0x9c203f5b85d1ed12,400000,400000
40,0,970.95,970.95,400000,400000,0,400000,0.0,411968.0,411968.0,0x9c203f5b85d1ed12,72.1,72.39,400000,400000,0,400000,0.0,5547864.0,5525256.0,0x9c203f5b85d1ed12,400000,400000,400000,400000,253.82,254.79,400000,102268,297732,400000,74.4,1575923.0,1569913.0,0x9c203f5b85d1ed12,400000,400000
